A: 	het zijn een beetje een basketbal die in een net terechtkomen 
B: 	ja 
B: 	en zijn het dan dat er nog wel allemaal ander uitsteeksel 
A: 	ja 
B: 	zeggen maar één 
A: 	nog nog twee uitsteeksel zeggen maar je hebben zeggen maar zo'n zo'n pilaar en dan een basketbal met een net 
B: 	ja 
B: 	ja 
A: 	of een korfbal lijken het wel een beetje op 
B: 	ja ja dat zijn D 
B: 	even kijken 
B: 	ja volgens mij hebben we deze ook al hebben dat zijn weer die basketbal 
A: 	basketbal ja die hebben we hebben vijftien 
A: 	dit zijn de basketbalnet 
B: 	ja 
A: 	een basketbal 
B: 	dat zijn L 
B: 	ja dit zijn die basketbal 
A: 	ja 
A: 	even kijken waar staan die ? hier 
A: 	zes 
A: 	de de basketbal 
B: 	de basketbal oké 
B: 	J 
B: 	de basketbal 
A: 	ja 
A: 	drie 
