B: 	het zijn die een die op een voet lijken te staan zeggen maar met die twirl en dan op een driehoek 
A: 	ja hebben die een soort van Standaard 
A: 	lijken het op een beetje op een prijs een travee trofee 
A: 	ja 
A: 	ja dan zitten er twee blok op plus één soort van staafje 
A: 	ja dat zijn bij mij vier 
B: 	waar zijn het kreng ? ja vinden A 
A: 	bij mij zijn het de trofee die een beetje op die schuine Standaard bekendstaan zeggen maar met die twee blok en dat ander dinge erbovenop 
A: 	weten je welk ik bedoelen 
A: 	ja die zo'n beetje draaien poot zo omhoogging zo 
A: 	ja de trofee 
A: 	ja 
B: 	dit zijn op dat op dat voetstuk met die Twirl 
B: 	L 
A: 	ja ik zien hem tien 
A: 	tien 
B: 	het zijn die op de driehoekig voetstuk met die Twirl 
A: 	de trofee 
A: 	ja 
B: 	ja F 
A: 	nummer vier 
A: 	de trofee 
