A: 	dan hebben we nu één met een een horizontaal achthoekig staaf met aan beide uiteind rondjes , cirkel 
A: 	en een beetje achter de staaf lijken er een een vierkant schuil te gaan met daar aan de onderkant een soort ja pootje zullen ik zeggen 
A: 	die staaf zijn aan de linkerkant heel kort en aan de rechterkant lijken hij een stuk lang 
B: 	hebben hij aan de rechterkant twee staaf 
A: 	nee aan de rechterkant zijn alleen die ja het zijn een soort achthoekig staaf denken ik dat het zijn of in ieder geval een vierkant of zeshoekig misschien ik weten het niet precies 
A: 	aan de buitenkant zitten twee rond vorm 
B: 	een soort gieter 
A: 	ja 
B: 	oké ja dat zijn dat zijn K 
B: 	dit zijn die soort gieter 
B: 	links en rechts ja een staaf met een bolle eraan 
A: 	ja 
B: 	ja en daar achter 
A: 	en aan de achterkant dat vierkantje 
B: 	ja 
A: 	ja nummer een 
A: 	dit zijn weer volgens mij noemen we deze de gieter geloven ik dat zijn met die achthoekig staaf met die twee rond uiteinde 
B: 	ja 
B: 	en een vierkant erachter achter ja B 
A: 	ja 
A: 	ja 
B: 	dit zijn de gieter 
A: 	de gieter even kijken hoor 
B: 	links en rechts ja 
A: 	ja ja met die handvaat zijn de gieter hè ? zo noemen we die toch 
B: 	ja links en rechts twee van die 
B: 	ja een bolle 
A: 	en het bak toch ? en het de driehoek zonder uh , punt , omgekeerde driehoek 
B: 	zo'n 
B: 	nee 
A: 	of zitten ik verkeerd 
B: 	deze hebben links en rechts twee ding en een rond eraan 
A: 	ah dat zijn die 
A: 	ja met die rond ja ja en aan de achterkant dat vierkantje dat zo ja precies nummer veertien 
B: 	ja 
B: 	ja 
A: 	dit zijn de gieter noemen we die geloven ik 
A: 	met die acht hoekig staaf en die twee ronde 
B: 	oké 
B: 	ballet eraan , ja 
A: 	ja 
B: 	F 
B: 	de gieter 
B: 	die twee balle rechts 
A: 	twee balle rechts 
B: 	ja twee van die uitsteeksel , links en rechts , zitten een balle aan vast 
B: 	die gieter , 
A: 	ja dat ja dat ding , ja nummer dertien 
B: 	ja 
