A: 	oké ik vinden deze ja het hebben het zijn een soort van isteken aan de rechterkant 
A: 	van zijn gelijk aan 
A: 	ja 
A: 	even kijken 
A: 	met een soort van ja een trapezium laten maar zeggen bovenop 
A: 	een soort van vierkant waarvan de onderkant 
A: 	dan denken ik ook 
A: 	ja nee die vinden ik daar inderdaad ook op lijken maar ik nee ik 
A: 	even kijken 
A: 	ja ja ja kloppen 
A: 	oké 
B: 	die ja 
B: 	ja 
B: 	J 
B: 	wachten 
B: 	ik hebben we hebben de verkeerd doen denken ik 
B: 	ik denken jij hebben met een driehoek op het hoofd maar jij zeggen die met vulkaan op het hoofd 
B: 	of niet 
B: 	met een isteken aan de rechterkant 
B: 	ja ik hebben het verkeerd ah oké 
A: 	ja 
A: 	zijn bij mij nummer twee trouwens 
A: 	ik hebben de kip 
B: 	dit zijn die een met isteken aan rechterkant 
B: 	ja 
B: 	nu je het zeggen 
B: 	ah M 
A: 	ja 
A: 	nummer negen 
A: 	ik hebben de kip weer 
B: 	het isteken 
B: 	ja trapezium 
B: 	iste 
B: 	F 
A: 	nummer zes 
B: 	het isteken 
