B: 	ah deze zijn de laat met een plat vlak erdoorheen 
B: 	en die zitten veel aan de bovenkant het plat vlak 
A: 	ja 
A: 	iets met met die tafelpo eraan 
B: 	ja tafelpoot ja 
A: 	dat bijzettafel 
A: 	dat zijn zestien 
A: 	dit zijn dat kop met het tafel erdoorheen 
A: 	met die poot eraan 
B: 	met het met de poot oké 
A: 	ja 
B: 	P 
B: 	dat zijn die een met de tafel 
A: 	met die poot er echt aan 
B: 	ja 
A: 	ja 
A: 	dat zijn veertien 
A: 	dit zijn die een met die bijzettafel er recht doorheen met die poot eraan 
B: 	ja 
B: 	N 
B: 	de tafel 
B: 	met die twee poot om de tafel 
A: 	ja dat zijn tien 
A: 	die bijzettafel die er helemaal doorheen gaan met die twee poot eraan 
B: 	oké 
B: 	d 
