A: 	ja het hebben zullen ik maar zeggen twee heel ongelijk vlaggenmast alsof je één lang paal en een kort 
B: 	en een 
A: 	en zo'n schuin dakje er of zo achter achter die 
B: 	schuin dakje aan de achterkant 
A: 	ja ja 
B: 	ja 
B: 	K 
B: 	one ja deze zijn met die twee handvaat waarvan er één kort zijn dan de ander 
A: 	de waar met dat schuin dakje wel dan nu 
B: 	en 
B: 	ja schuin dak 
A: 	oké dat zijn negen 
A: 	weten ik niet 
B: 	oké 
A: 	dit dit zijn die een met die twee 
B: 	lang duren 
A: 	uitsteeksel met dat schuin dak waar die niet al twee even gelijk zijn 
B: 	ja F 
B: 	oké 
B: 	dit zijn die een met twee handvaat van ander lengte 
A: 	ja wachten even zoeken 
A: 	zijn ik nou blind of waar 
A: 	daar 
A: 	met dat een raar dakje er nog zo 
B: 	ja dat vierkantig 
A: 	ja 
A: 	nummer drie 
A: 	dit zijn weer dat met die twee ongelijk staven met dat schuin dak 
B: 	ja 
B: 	L 
B: 	one's het twee handvat van de ander lengte 
A: 	ja met dat schuin dak zo 
B: 	ja 
A: 	nummer vijf 
