B: 	ja deze zijn eigenlijk best wel makkelijk deze hebben een plateau maar daar staan hij echt op helemaal onderop met twee van die ding die er uitkomen 
A: 	twee groot ja 
A: 	ok nummer vijf 
A: 	ja dit zijn eigenlijk hij staan op een plateau eigenlijk met van draaien ding bovenin 
B: 	ja en dan nog dat cirkel aan de voorkant met dat ding eraan en dan nog zo'n raar uitsteeksel ja dat zijn dan J 
A: 	er voor voor zich ja ja 
A: 	ja 
A: 	ja 
B: 	ja dit zijn weer diegene die op dat plateau staan die dinge die eruit komen en 
A: 	ja 
A: 	met draaiding met die voor die ronde ja dat zijn dan nummer elf 
B: 	ja dat zijn hem 
A: 	ja dit zijn die eigenlijk die op zo'n plateau staan en die eigenlijk doorboren worden door zo'n ja raar het ruit achtig ding zeggen maar met met dat rond masker voor ja 
B: 	door die door die ruit 
B: 	ja 
B: 	dan zijn dat P 
A: 	ja 
B: 	dit zijn dat plateau bij die ruit die die er zo uitsteken en dan hebben je nog dat cirkel voorop met een aanhangsel en nog een aanhangsel op dat plateau 
A: 	ja dus die doorboren worden weer ja ja 
B: 	ja die doorboren worden ja 
A: 	dat zijn dan nummer negen 
A: 	ja dit zijn die die op weer zo'n plateau staan en die er eigenlijk door doorboren doorboren worden en aan de voorkant zo'n ronde hebben en aan nog plateau nog een hanger 
B: 	ja 
B: 	dat zijn dan L 
