A: 	deze vinden ik moeilijk te omschrijven dat zijn dat kop en die hebben dan bovenin wel een piramide met een punt 
A: 	en dan hebben die nog een heel lelijk vervormen blok 
B: 	ja 
A: 	aan de zijkant 
B: 	en aan de zijkant een soort van schroevendraaier aan 
A: 	en nog één 
A: 	zo'n fles die erin 
A: 	ja 
A: 	die ja 
B: 	ja 
B: 	nummer J 
B: 	niet nummer J letter J 
B: 	ik hebben die met die echt piramide op het hoofd 
A: 	ja en dat gek blok 
B: 	en dan zo'n raar dinge 
B: 	ja 
A: 	nummer zes 
A: 	die met die die spits piramide bovenop 
B: 	en dat raar blok 
A: 	en dat raar blok ja 
B: 	E 
B: 	met die dat piramide op zijn hoofd en dat raar ding aan de voorkant 
A: 	ja ja die goed piramide nummer tien 
A: 	die met die piramide en dat raar blok 
B: 	G 
B: 	dat piramide 
A: 	ja 
B: 	met dat raar blok 
A: 	ja nummer tien 
B: 	ja 
