B: 	een 
B: 	het staat op een plateau en er zijn zo zo'n draaien ding doorheen 
B: 	ja 
A: 	ja 
A: 	ja okee 
A: 	dat zijn nummer een 
A: 	hier hebben we de hoofdvorm op een platform staan 
A: 	op de hoofdvorm zitten een cirkel 
A: 	en aan beide kant steken een ja één één één ja 
A: 	versiersel uit 
A: 	ja 
A: 	nummer drie 
A: 	dit zijn de hoofdvorm die op de op het plateau staan met een rond cirkel er aan vastgeplakt en het versiersel 
B: 	ja 
B: 	ja 
B: 	ja en dat dinge erdoorheen een schroef eigenlijk 
B: 	ja 
B: 	dat zijn b 
A: 	even kijken horen 
A: 	ja 
A: 	van die versiersel 
A: 	ja 
A: 	nummer twee 
B: 	dit zijn die spiraal schroef erdoorheen 
A: 	dit zijn de versiersel de hoofdvorm met de versiersel 
B: 	ja 
B: 	dat zijn g 
B: 	de spiraal erdoorheen 
B: 	ah ja n 
