B: 	one ja dit zijn deze hebben een zo'n rond voorkant zo'n rond neus net als met die met dat ijstheestokje 
A: 	hebben die een nee laten maar 
A: 	wachten even hebben die een driehoek naar rechts 
A: 	naar links bedoelen ik 
B: 	naar links een nee 
B: 	nee hij hebben echt zo'n echt precies zo'n zelfde neus als die met dat ijstheestaafje 
A: 	oké 
A: 	ja 
B: 	dus echt zo'n ronde 
B: 	zelfde kant op 
A: 	ja en dan en dan twee ding bovenop 
B: 	ja twee van die gek ding bovenop en één ding naar ja 
A: 	link 
B: 	ja links ja 
A: 	met en dat zijn een driehoek 
B: 	driehoek ja ja ja 
A: 	oké 
B: 	oké ja 
A: 	bij mij zijn dat veertien welk bij jou 
B: 	bij mij zijn dat P 
A: 	P 
B: 	P ja 
A: 	P veertien 
A: 	degeen die wij zo raar vinden met het ijstheestaafje maar dan zonder het ijstheestaafje 
A: 	dus alleen met dat bolle 
B: 	die 
B: 	alleen de neus ja 
A: 	en met dat driehoek aan de zijkant 
B: 	driehoek aan de 
B: 	ja 
B: 	N 
A: 	drie 
B: 	N drie 
A: 	ja 
B: 	ja die waar waarvan alleen die neus en dan dat driehoek uit zijn oor en dan twee staaf bovenop 
B: 	G bij mij 
A: 	neus driehoek uit het oor wat 
B: 	driehoek driehoekig zo aan de zijkant en die bol neus 
A: 	je bedoelen met één recht staaf en één raar uitkomst 
B: 	ja 
B: 	ja 
B: 	die ja 
A: 	oké 
A: 	negen welk zijn het bij jou 
B: 	G 
A: 	G negen 
A: 	ijstheestampertje maar dan zonder het ijstheestampertje 
B: 	ja 
B: 	dus met de driehoek ja G 
A: 	driehoek aan de zijkant 
A: 	dertien 
B: 	G dertien 
B: 	dit zijn de ijstheestamper zonder ijstheestamper dus alleen de neus 
A: 	nee dat zijn 
B: 	O 
A: 	O vijf 
A: 	ijstheestamper zonder ijstheestamper 
B: 	ja 
A: 	dus met die driehoekig ding aan de zijkant 
B: 	even 
A: 	negen 
B: 	J negen 
