A: 	oké ik hebben nu één bovenop zitten een driehoek waarvan het top eraf zijn snijden 
A: 	en rechts zitten twee staven zeggen maar twee rechthoeak 
B: 	ja 
A: 	en link zitten een staaf met twee puntig uiteindes en nog een soort van uitstekend buis 
B: 	ja 
B: 	dat zijn bij mij I 
B: 	deze hebben twee rechthoek aan de rechterkant en bovenop een afgehaken piramide 
B: 	en links een staaf met twee punt en linksonder nog een soort buis die uitsteken 
A: 	ja ik hebben hem denken ik 
A: 	ja dus zeggen maar links zijn die staaf met die twee punt 
B: 	ja 
A: 	en bovenop de afgekapte piramide 
B: 	ja 
A: 	en rechts de twee ding 
A: 	ja 
B: 	ja 
A: 	oké die zijn dan nummer twee 
A: 	dit zijn die een met die afgehaken piramide bovenop en rechts die twee rechthoeak en link die 
A: 	rechthoek met die twee puntig uiteind en nog zo'n buisje zeggen maar daaruit 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij M 
B: 	dit zijn met die afgekapte piramide aan de bovenkant 
B: 	rechts twee rechthoeak en links het streep met pijlt 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	dit zijn die een met die afgekapte piramide en rechts twee van die rechthoeak en link dat staaf met die punt 
B: 	ja 
B: 	dat zijn bij mij F 
B: 	dit zijn met die afgekapte driehoek en die twee rechthoeak aan de rechterkant 
A: 	ja 
A: 	dat zijn nummer zes 
