B: 	ok nou dit zijn dus wel de kruiwag weten je dan welk ik bedoelen zeggen maar 
B: 	zeggen maar er zitten een bak op en er zitten zeggen maar zo'n ja rand omheen en aan die rand zitten twee van die balk 
A: 	ah 
A: 	ja 
A: 	ja dus echt gewoon zo'n rechthoek tafelachtig maar dan helemaal aan het bovenste van het mokje dan wat jij toen zeggen 
A: 	oké dan zijn het nummer zestien 
B: 	o die kruiwag 
B: 	ok ja ok dat zijn P 
A: 	dat zijn die een met dat tafel eigenlijk helemaal bovenaan weten je wel ? zo'n rechthoek helemaal bovenaan dat kop 
A: 	hebben we ook al een keer hebben 
A: 	ja dat bank 
B: 	ok ja dit zijn de kruiwag 
B: 	ja en dat bak erop 
B: 	dat zijn N 
A: 	ja even kijken 
A: 	dat zijn nummer veertien 
B: 	de kruiwag 
B: 	ja dat zijn D 
A: 	dit zijn met dat bank tafel 
A: 	oké 
A: 	even kijken ah nummer tien 
A: 	dit zijn met dat bank 
