B: 	deze hebben een soort bureautafel voor zich met zo'n vierkant ding bakjeten erop of zo 
A: 	ja met zo'n ja met poo 
B: 	met die tafelpoot ja 
A: 	ja 
A: 	zestien 
A: 	deze hebben dat tafel weer 
A: 	die met die poot eronder 
B: 	met die met die poot eronder ja 
A: 	ja 
B: 	P 
B: 	deze hebben weer dat tafel met die twee poot eronder 
B: 	met zo'n bak erop 
A: 	ja 
B: 	ja 
A: 	veertien 
A: 	het tafel weer 
A: 	met die poo 
B: 	N 
B: 	ah deze zijn met dat tafel met die twee poot 
A: 	alweer 
B: 	ja 
A: 	tien 
A: 	het tafel weer 
B: 	d 
