A: 	zo'n raar 
A: 	nog één zo'n dinge 
A: 	ja oké 
A: 	dan zijn het nummer veertien 
B: 	dit zijn een een soort theekopje met twee lepeltjes erin 
B: 	één hebben een wat puntig en een neus hebben die en één oor 
B: 	ja er zitten een een staafje of een balk in 
A: 	ja dit zijn dat ding met twee ding zo bovenop 
A: 	één gewoon zo'n recht balkje en die soort kegel die een beetje schuin staan 
A: 	ja en dan dat armpje en die rond neus vooraan 
B: 	ja 
B: 	balk 
B: 	en de oor en de neus 
B: 	dan zijn het N 
A: 	ja ik weten welk het zijn 
A: 	en dan dat balkje en dan dat rond ervoor 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn dat poppe met dat rond ding voor links één zo'n driehoekarmpje en die kegel en dat recht dinge bovenop zijn hoofd 
A: 	ja die kegel die zo'n beetje schuin staan 
A: 	met dat rond voor 
A: 	oké nummer vijf 
A: 	ja dat poppet met die schuin kegel op zijn hoofd en dat recht blok 
A: 	en dan nog dat armpje link 
B: 	dit zijn weer dat theekopje 
B: 	met die eenpuntig uitsteeksel één balkje 
B: 	oor en de neus 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn dan G 
B: 	dit zijn weer dat theekopje met die twee staafjes erin 
B: 	één puntig en één balkje 
B: 	ja 
B: 	dat zijn J 
