B: 	ah ja ik vinden dit echt een beetje een ding met een neus op de één of ander manier 
B: 	ja weten ik niet 
B: 	niet met de piercing zeggen maar gewoon die ander 
B: 	twee ding erbovenuit en zo'n driehoekig ding dat eruit komen 
B: 	ja 
A: 	ja zo'n van bowlingkegel 
A: 	ja dat zijn veertien 
B: 	en dat driehoekje aan de linkerkant 
B: 	oké 
B: 	N 
A: 	ja een bolle rechts een driehoekje link 
A: 	en dan een kegel erbovenop en een staaf er rechts naast 
B: 	dit zijn degeen met de neus zonder de piercing 
B: 	met de met die kegel ding bovenop 
B: 	G 
A: 	één kijken waar zijn het ook alweer 
A: 	ja bolle rechts driehoekje link kegeltje erbovenop balkje erbovenop 
A: 	negen zijn dat 
B: 	de neus zonder piercing 
B: 	J 
A: 	hebben ik nu weer vier figuur bollet driehoekje kegeltje staafje 
A: 	ja 
A: 	dit zijn met die kegel 
A: 	ja 
A: 	ja nummer vijf 
A: 	ik hebben die met een cirkel aan de rechterkant een driehoekje aan de linkerkant een kegel en een balk 
