A: 	ik vinden deze er heel plat uitzien omdat die rechts hebben die twee precies dezelfde ja een soort isteken zijn het eigenlijk 
A: 	en bovenop zijn een soort ja espressocupje of zo of een hoed 
A: 	en link iets ik weten niet precies wat en links in het midden van het kop zitten nog een nog een vinne 
A: 	bovenop zitten zo'n ja klein cupje 
A: 	dat zijn het enig wat bovenop zitten 
A: 	ja 
A: 	ja precies dat zijn dat isteken 
A: 	een kip 
A: 	ja ja ja ja oké 
A: 	oké 
B: 	ik zien geen vogel maar hij hebben een piramide op zijn hoofd 
B: 	ja 
B: 	o die die lijken wel op een vogel 
B: 	en die hebben dan twee balk die maken een snavel 
B: 	ok 
B: 	ja 
B: 	ok dat zijn dan I 
A: 	ja 
A: 	twee 
A: 	dit zijn de kip 
A: 	met het isteken 
B: 	dit zijn die vogel 
B: 	met twee balk rechts 
B: 	en een vleugel 
A: 	negen 
B: 	ja dat zijn voor mij M 
A: 	ja 
A: 	de kip 
A: 	zes 
B: 	dit zijn de vogel 
B: 	vogel dat zijn voor mij F 
B: 	dit zijn de vogel 
