B: 	oké deze zijn weer dat die basisvorm 
B: 	dan aan de zijkant op al twee de plek dat vierkant dat steeds klein vierkantje worden waar we het over hebben en een groot vierkant blok 
A: 	ja 
B: 	een soort van plaat aan de voorkant 
A: 	ja 
B: 	met nog een soort antenne achterin 
A: 	een ja soort spion hebben ik ervan maken 
B: 	ja 
A: 	dat die aan het bellen zijn dat zijn bij mij nummer twee 
A: 	dit zijn eigenlijk die spion weer dus met die twee traps toelopen 
A: 	blok tentakel omhoog en een vlak aan de zijkant 
B: 	dat zijn G 
B: 	dit zijn die spion wat jij zeggen met dat met dat groot vierkant blok voor 
A: 	Blok ja 
A: 	dat zijn nummer negen 
A: 	dit zijn de spion 
B: 	ja 
B: 	dit zijn D 
B: 	dit zijn die spion 
A: 	de spion die staan ja nummer één 
A: 	dit zijn de spion 
B: 	even kijken waar zijn die 
B: 	ja dat zijn B 
