A: 	ja ik hebben bij deze ik denken iets van een een cactuspot of zo 
A: 	in ieder geval je hebben dan wat je over over hebben die basis zeggen maar en dan zitten er één dinge in 
A: 	en dan uitsteken er aan de zijkant nog twee uit en nog voor één uit 
A: 	en dan zijn het twee van die ovaal ding die ja een soort kegelachtig 
A: 	en dan aan één zijkant zitten wat ja lompig 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en dan aan dat ander kant zitten nog zo'n uitsteekselt 
B: 	ja 
B: 	hebben die twee van die balk aan de rechterkant 
B: 	even kijken horen 
B: 	vier 
B: 	twee en dan hebben die er één hebben die er link zitten en één omhoog 
B: 	uit en dan aan die kant een soort ja legoblokjesopstapeling 
B: 	en dan nog een slurfje aan die kant 
B: 	oké 
B: 	dan zijn het E 
A: 	even kijken 
A: 	en dan met die blok dat dat na en dan 
A: 	ja oké 
A: 	nummer elf 
B: 	deze zijn weer die met vier uitsteeksel dus die hebben één zo'n dinge 
B: 	zo'n soort legodinge aan de zijkant 
B: 	een klein slurfje en nog één 
B: 	even zoeken 
A: 	dit zijn die die wat ik op zo'n cactus plaatsvinden lijken 
A: 	met die kegel boven en dan die blok aan de zijkant rechts die iets groot worden 
A: 	en dan nog zo'n armpje links en nog zo'n kegel vooruit 
A: 	ja die raar 
A: 	ja 
A: 	nummer negen 
B: 	ja 
B: 	dat zijn J 
A: 	die cactusplant 
A: 	ja 
A: 	ja nummer vier 
B: 	dit zijn die een met die vier uitsteeksel met die legoblok 
B: 	ja 
B: 	even zoeken 
B: 	ja dat zijn B 
B: 	dit zijn weer met die vier uitsteekselt 
