B: 	je hebben een bal voorop 
B: 	dan aan de zijkant een driehoektui 
B: 	en bovenop een rechthoekig handvat en een soort van penachtig iets 
A: 	en een vierkant 
A: 	ja heel rechthoekig 
A: 	ja dat zijn nummer vijf bij mij 
B: 	ja g 
A: 	ja Sorry 
A: 	dit zijn hebben zo'n neus en dan hij het zijn een soort soort vorm van een kegel maar dan veel alsof het een wespenlichaam zijn weten je in twee deel 
A: 	en aan de rechterkant hebben hij een een hoek dat zo uitsteken 
A: 	en dan hebben hij nog een miniarmp aan de linkerkant 
A: 	dat zijn een 
A: 	ja een neus een beetje aan de rechterkant 
A: 	rond 
A: 	zo'n ei 
A: 	dan hebben hij een miniarmp 
A: 	en dan hebben hij aan deze kant hebben hij zo'n soort kegelvormig iets maar dan veel in wespenvorm 
A: 	ja en dan nog een rechthoek 
B: 	deze hebben een bal voorop 
B: 	twee uitsteeksel bovenop één zijn rechthoek en ander soort penachtig 
A: 	een wespenlichaam 
A: 	en dan zo'n zo'n rechthoek en een klein armp 
A: 	dat zijn acht 
B: 	ja k 
B: 	deze hebben de bal voorop en een pen en dat rechthoekjeten Bovenin 
A: 	deze die hebben een -lichaam en een balk en een neus hier en een raar arm 
B: 	where did it go ja n 
A: 	ja en een klein raar armpje en een balk toch 
A: 	twaalf 
A: 	dit zijn die een met het wespenlichaam een neus of ja een ei en hier zo'n balk 
A: 	en nog een armpje 
