B: 	hier zitten bovenop de emmer liggen soort van een klein rechthoek 
B: 	en dan aan de linkerkant komen er een soort tui op zijn kop uit 
B: 	die een beetje rond zijn 
B: 	en aan de rechterkant zijn ook een tui 
B: 	wat lijken op een driehoek 
B: 	en daarbovenop een staaf 
B: 	dat zijn een beetje niet niet heel bijzonder hij zijn nogal compact 
A: 	ja die moeten je nog een keer zeggen 
B: 	het zijn de emmer hebben erbovenop liggen er soort van een vierhoekig staaf 
A: 	ja 
B: 	aan de linkerkant komen er een ja soort van tui uit maar dan op zijn kop 
B: 	wat een beetje rond vorming onderaan hebben 
B: 	en aan de rechterkant zitten er een driehoekig tui met daarop een staaf 
A: 	okee 
A: 	negen 
A: 	deze hebben een horizontaal balk rechtop bovenop de emmer 
A: 	links zijn er een ook een soort trechter 
A: 	die op de kop staan 
A: 	rechts van de emmer zijn een heel klein cilinder die rechtop staan op ook één of ander uitsteeksel 
B: 	ja h 
B: 	deze hebben die omdraaien trechter aan de linkerkant soort van de neus 
B: 	en bovenop een rechthoekig staaf 
A: 	ja twee 
A: 	deze hebben die omgekeerde trechter aan de linkerkant en een balk bovenop de emmer 
B: 	ja p 
B: 	deze hebben de omdraaien trechter neusachtig iets aan de linkerkant en die staaf bovenop 
A: 	ja drie 
A: 	die hebben die omgekeerde trechter aan de linkerkant 
B: 	f 
