A: 	deze hebben een staaf aan de achterkant 
A: 	en een vierkantje ook aan de achterkant 
A: 	alsof je een kop hebben met twee van die alsof het een deegroller ja aan de achterkant hebben die een deegroller 
A: 	en één en een handvat lijken het wel aan de achterkant 
B: 	hebben die zo'n ding op zijn hoofd liggen 
A: 	nee nee 
B: 	nee 
B: 	een vierkant 
A: 	hij hebben een staaf aan de achterkant 
B: 	even kijken 
B: 	staaf aan de achter 
A: 	ja 
A: 	en hij zijn hij lijken zeshoekig die staaf 
A: 	ja duidelijk 
A: 	het zijn het zitten allemaal aan de achterkant van de beker 
B: 	hebben die zo'n 
B: 	ja hebben die zo'n langwerpig ding nog aan de achterkant er 
A: 	ja 
A: 	ja de een zijn lang dan de ander 
B: 	zijn het met zo'n statiefje wat erachter staan met zo'n vierkantje 
A: 	ja 
B: 	ja K 
B: 	even kijken dit zijn die weer met die rond balk met twee bollet aan de uiteinde aan de achterkant ja met dat 
A: 	waar wij zo lang over ja die deegroller 
B: 	ja die deegroller ja 
A: 	ja ja 
A: 	negen 
A: 	en deze zijn weer die deegroller 
B: 	ja F 
B: 	dit zijn die deegroller 
A: 	die 
B: 	deegroller 
A: 	waar zijn die nou 
A: 	ja 
A: 	drie 
A: 	dit zijn de deegroller weer 
B: 	L 
B: 	deegroller 
A: 	ja 
A: 	waar zijn jij ? vijf 
