A: 	holy shit 
A: 	dat zijn er veel veel 
A: 	jij hebben er één 
B: 	ja ik hebben een een vierkantje 
B: 	hoe gaan ik hem uitleggen 
B: 	het zijn in ieder geval een beetje Pinokkiostyle 
A: 	ja 
B: 	zo'n een emmer met een cilindertje 
B: 	en dan daarboven nog een soort omgekeerd kegel 
A: 	omgekeerd kegel 
B: 	een omgekeerd kegel 
B: 	en aan de achterkant zitten nog een cirkel 
B: 	niet een 3Dcirkel zeggen maar gewoon een cirkelvormig dinge 
A: 	ja 
B: 	ja 
A: 	denken dat ik het weten 
A: 	zijn het zit hebben die onderop een soort sik ook 
A: 	of niet 
B: 	ja hij staan op een soort plateau een dun smal plateau 
A: 	ja precies en aan de linkerkant steken er iets uit 
B: 	aan de nou nee aan niet echt iets dat aan de zijkant uitsteken veel omhoog alsof die een soort van sprie op zijn hoofd hebben 
A: 	alleen een sprie op zijn hoofd 
B: 	ja 
A: 	echt 
A: 	wachten 
B: 	oké ik doen het nog een ik zullen het nog een keer zeggen een emmer 
A: 	ja 
A: 	ja 
B: 	en aan de linkerkant opsteken er een soort cilinder uit 
A: 	ja ja ja oké ja nee dan dan hebben ik hem 
B: 	als een soort neus 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	check 
B: 	oké 
A: 	en een sprie zo en een cirkel achterop 
B: 	ja een cirkel aan de achterkant 
A: 	ja 
A: 	dertien 
A: 	en dan moeten ik drukken toch 
B: 	ja dan moeten jij drukken 
A: 	even kijken ja nu komen we weer bij de hij hebben zo'n een rond dinge achterop zitten en het 
A: 	wat jij zeggen zo'n soort Pinokkio 
A: 	met die cilinder 
B: 	ja 
A: 	naar 
B: 	en er zitten een kegel boven op het hoofd 
B: 	zo'n omgekeerd knuppel 
A: 	ja 
A: 	ja 
B: 	dan zijn het O 
B: 	dit zijn de Pinokkio die op een soort klein smal standaard staan met aan de achterkant een cirkel en 
B: 	achter op zijn hoofd een soort pluk 
A: 	ja acht 
A: 	even kijken 
A: 	de Pinokkio met de pluk 
A: 	en het cirkelt 
A: 	achterop 
B: 	Pinokkio cirkel achterop 
A: 	ja 
B: 	dat zijn C 
B: 	dit zijn de Pinokkio met het sprie en aan de achterkant een cirkel 
A: 	ja ja ja ja ja zeven 
A: 	Pippi Langkous met kuifje en cirkeltje 
A: 	of sorry Pippi Langkous Pinokkio 
B: 	Pinokkio hebben we ook nog 
B: 	Pinokkio met kuifje en een cirkel 
A: 	hij staan bij mij rechtsboven 
B: 	dat zijn C 
B: 	dat zijn hem 
A: 	nice 
B: 	nu 
A: 	volgen deel 
B: 	droom over die vorm denken ik zien je het al voor je 
A: 	ja precies 
A: 	terwijl we daar plat liggen 
B: 	ja 
A: 	ja 
B: 	ja 
