A: 	hij hebben een een rond aan de voorkant en daar zitten een staaf doorheen 
A: 	en daar zitten op de zijkant weer een rond tegenaan 
A: 	alsof 
B: 	hebben die aan de bovenkant een soort van appelsteel 
A: 	ja 
B: 	oké dan weten ik welk het zijn dan moeten dat F zijn voor mij 
B: 	dus even kijken dan zijn dat de geel knop 
B: 	even kijken dit zijn het het bak waar het appelsteel aan de linkerkant boven uit opsteken 
B: 	met aan de voorkant het bolle met het staaf erdoorheen 
A: 	ja 
A: 	en dan ding aan de zijkant 
B: 	ja 
A: 	dat zijn vijf voor mij 
B: 	nee 
A: 	dit zijn degeen met dat appelsprietje aan de bovenkant en de doorboren ja Neusding 
B: 	ja 
B: 	dat zijn voor mij A 
B: 	dit zijn die weer met het appelsteel aan de bovenkant en het neus wat doorboren worden 
A: 	yes dat zijn vijf voor mij 
A: 	dit zijn die met dat appelsteeltje en de doorboren neus 
B: 	dat zijn H voor mij 
B: 	het appelsteeltje en het doorbooren rond 
A: 	ja dat zijn vijftien voor mij 
