B: 	eens even kijken hoor deze hebben aan de linkerkant twee van die die vier kubus eraan zitten die zitten achter elkaar er zitten een vierkant voor en een soort 
A: 	ja 
A: 	ja 
A: 	antenne erop 
B: 	ja spijker antenne inderdaad 
A: 	ja 
A: 	dat zijn nummer veertien 
A: 	ik hebben nu die twee met die twee kubus aan de linkerkant en die antenne erop en dat vierkantje aan de voorkant 
B: 	dat zijn b 
B: 	deze hebben twee de twee vier kubus achter elkaar als handvat met het vierkant ervoor 
A: 	okee 
A: 	okee twaalf 
A: 	deze zijn met die antenne en die twee kubus aan die twee keer vier kubus aan de linkerkant en dat 
B: 	met het vlak ervoor 
A: 	met dat vlak ervoor ja 
B: 	yes dat zijn i 
B: 	deze hebben de twee maal vier kubus aan de linkerkant en het en de antenne aan de bovenkant 
A: 	twaalf 
A: 	dit zijn met die twee twee keer vier kubus aan de linkerkant die antenne en dat vierkantje aan de voorkant 
B: 	yes dat zijn d 
