B: 	je kunnen het een beetje beschrijven als twee oog die die aan de linkerkant hebben als verrekijker en een vierkant erop plakken 
B: 	aan de voorkant 
B: 	ja 
A: 	die 
A: 	ja met zo'n bolle bovenop die ja 
A: 	het lijken op een robot dat zijn nummer twee bij mij 
B: 	met het vierkant voorop 
B: 	ja 
B: 	G 
B: 	dit zijn de verrekijker met vierkant voorop en het plubbel bovenop 
B: 	D 
A: 	ja dit zijn die op die robot lijken met twee van die telescoopog en zo'n vierkant links van hem met zo'n spijker boven in zijn hoofd 
A: 	ja 
A: 	ja dat zijn nummer negen 
B: 	dit zijn de verrekijker met het vierkan voorop plakken 
B: 	met het vierkan 
B: 	waar staan die 
A: 	ja dit zijn met die twee telescoopog en dat vierkant aan de zijkant en die spijker bovenop 
A: 	ja dat zijn even kijken waar staan hij één 
A: 	dit zijn met die twee telescoopog spijker Bovenin en een vierkant aan de zijkant of voorkant 
