A: 	deze hebben een uitsteeksel aan de onderkant 
A: 	en aan de bovenkant zitten ook een uitsteeksel dat zijn een soort ruit vinden ik het lijken 
A: 	met twee van die ding erin 
A: 	ja ja 
B: 	ja 
B: 	ja 
B: 	dus zeggen maar dus ja die driehoek die staan bovenop 
B: 	ja 
B: 	ja ja ja 
B: 	ja en dan aan de zijkant staan nog aan de linkerkant ja je hebben zo'n lang ding en dan nog een ook weer zo'n soort bliksemschicht toch 
B: 	ja ja 
B: 	ja 
B: 	dan zijn het ja 
B: 	M 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn die met met die ruit aan de bovenkant met twee van die kasteelt aan allebei de kant 
A: 	en zo'n ding onderaan nog 
B: 	en dit zijn 
B: 	ja dat zijn die met die twee ja ruiten zeggen maar met een piercing of zo'n ja zo'n bliksemschicht erdoorheen zeggen maar 
B: 	ja 
A: 	ja 
A: 	ja dat zijn elf 
A: 	dit zijn met die ruit erin met die twee torent aan de zijkant 
A: 	en dat uitsteeksel onder nog 
B: 	glijbaan 
B: 	ah 
B: 	I 
A: 	ja 
A: 	dat zijn veertien 
B: 	ja dat zijn die met die ruit 
B: 	ruiten en de bliksemschicht erdoorheen 
B: 	ja 
B: 	ja ja ja 
B: 	ja 
B: 	D 
B: 	ja wat zijn dit ? die ruit met de bliksemschicht 
