B: 	ok deze lijken alsof er een tafel doorheen zijn maken alleen die tafel hebben maar twee poot 
A: 	ja 
B: 	en erbovenop staan een bak en daar acheraan zitten nog een boog 
A: 	ja 
A: 	jaja 
A: 	ja 
A: 	dat zijn zestien 
A: 	ja dit zijn weer met dat ja ik noemen het een een bijzettafel met twee van die voorpot en dat bak 
A: 	er bovenop en dat dinge erachter 
A: 	dat je zeggen maar een tafel hebben die door de beker heen gaan 
A: 	waar alleen twee voorpot opstaan 
B: 	die met dat bak en die spriet 
A: 	ja 
A: 	ja 
B: 	dat zijn voor mij P 
B: 	dit zijn de tafel met twee poot met een bak er op en dat sprie achterin 
A: 	het bak ja 
A: 	ja dat zijn veertien voor mij 
A: 	dit zijn die met die half tafel die er doorheen gaan met die twee poot aan de voorkant en dat komme bovenop 
A: 	en dat slier achterop 
B: 	dat zijn voor mij N 
B: 	ok 
B: 	dit zijn de tafel met twee poot en een bak 
A: 	dat zijn nummer tien 
A: 	dit zijn met dat tafel dat door de kop heen gaan twee voorpoot en een komme er op en dat sprie er achter 
B: 	ja dat zijn voor mij d 
