A: 	oké nou dit zijn zegmaar zo'n weer zo'n kop lijken of er net zegmaar iets van een lepel erin zitten 
A: 	en er zitten zo'n ei met zo'n soort van paal erdoorheen 
B: 	even kijken hoor 
A: 	zegmaar zo'n met aan de rechterkant met zo'n schijf 
B: 	ja 
B: 	met aan 
B: 	ja oké ja 
B: 	oké dan weten ik het ja dat zijn P 
B: 	dit zijn die met dat ei met zo'n ding erdoorheen 
A: 	ja 
A: 	dat zijn met dat lepeltje erboven ja 
B: 	ja ja precies 
A: 	ja tien 
A: 	oké 
A: 	ja dit zijn weer zo'n weer zo'n ei met zo'n paal er doorheen en zo'n lepel 
B: 	ja 
A: 	boven 
B: 	ja oké dat zijn D 
B: 	ja dit zijn weer dat ei met dat ding er doorheen 
A: 	oké duidelijk negen 
A: 	en dit zijn degeen met het ei met die paal er doorheen 
B: 	ja 
B: 	ja dat zijn O 
B: 	dit zijn weer die het ei met dat ding erdoor 
A: 	oké ja dat zijn vijfteen 
